ticker,company,country,peer_role,peer_quality,include_in_trading_comps,ebitda_basis,net_income_basis,ev_ebitda_multiple,pe_ratio,pe_status,multiple_source,data_source,market_cap_abs,enterprise_value_abs,trailing_ebitda_abs,trailing_net_income_abs,ev_ebitda_ltm,pe_ltm,annualized_or_saved_ev_ebitda,annualized_or_saved_pe,best_available_ev_ebitda_ltm,best_available_pe_ltm,ev_ebitda_methodology_gap
GMAT3.SA,Grupo Mateus,Brazil,Target,Target,False,1Q26 annualized,1Q26 annualized,6.5838771199999995,11.500238723004694,Calculated,notebook_01_annualized_1q26,yfinance trailing snapshot,9821203456,15355474944,2517331968,1773538048,6.099900664352902,5.537633357838174,6.5838771199999995,11.500238723004694,6.099900664352902,5.537633357838174,-0.4839764556470971
ASAI3.SA,Assai,Brazil,Domestic Core Peer,Core Peer,True,1Q26 annualized,1Q26 annualized,6.104796544,17.83216404597701,Calculated,notebook_01_annualized_1q26,yfinance trailing snapshot,11740311552,34419310592,5616999936,700000000,6.127703575604954,16.771873645714287,6.104796544,17.83216404597701,6.127703575604954,16.771873645714287,0.02290703160495422
PCAR3.SA,GPA,Brazil,Domestic Distressed Peer,Distressed / Turnaround Peer,True,1Q26 annualized,1Q26 annualized,2.2974641048034936,,N.M. - negative earnings,notebook_01_annualized_1q26,yfinance trailing snapshot,915002432,8406584832,533000000,-1904999936,15.77220418761726,,2.2974641048034936,,15.77220418761726,,13.474740082813767
WALMEX.MX,Walmart de Mexico,Mexico,LatAm Peer,High Quality LatAm Peer,True,yfinance trailing EBITDA,yfinance trailing net income,9.841,18.222221,Calculated,yfinance,yfinance trailing snapshot,907495276544,959297290240,97478295552,50073546752,9.841137299413086,18.12324741122424,9.841,18.222221,9.841137299413086,18.12324741122424,0.00013729941308682214
CHDRAUIB.MX,Grupo Comercial Chedraui,Mexico,LatAm Peer,LatAm Food Retail Peer,True,yfinance trailing EBITDA,yfinance trailing net income,7.217,14.390602,Calculated,yfinance,yfinance trailing snapshot,94055096320,141098713088,19550976000,6545449984,7.216965183119247,14.369538618416247,7.217,14.390602,7.216965183119247,14.369538618416247,-3.4816880752686075e-05
SORIANAB.MX,Organizacion Soriana,Mexico,LatAm Peer,LatAm Food Retail Peer,True,yfinance trailing EBITDA,yfinance trailing net income,7.398,12.700729,Calculated,yfinance,yfinance trailing snapshot,61573902336,81359486976,10997213184,3442627072,7.398191306718602,17.88573117222033,7.398,12.700729,7.398191306718602,17.88573117222033,0.00019130671860256854
CENCOSUD.SN,Cencosud,Chile,LatAm Peer,LatAm Multi-format Retail Peer,True,yfinance trailing EBITDA,yfinance trailing net income,10.864,20.70428,Calculated,yfinance,yfinance trailing snapshot,5780666843136,11398445793280,1049218449408,282358743040,10.863748916835517,20.47277438941244,10.864,20.70428,10.863748916835517,20.47277438941244,-0.00025108316448374524
