ticker,company,as_of_date,current_price,market_cap_mn,enterprise_value,ebitda_annualized,ev_ebitda_multiple,multiple_source,reported_currency,ebitda_basis,country,exchange,subsector,peer_role,peer_quality,include_in_trading_comps,notes
GMAT3.SA,Grupo Mateus,2026-05-28,4.26,9798.203392,10534.203392,1600,6.5838771199999995,notebook_01_annualized_1q26,BRL,1Q26 annualized,Brazil,B3,Food Retail and Cash & Carry,Target,Target,False,Target company to be valued
ASAI3.SA,Assai,2026-05-28,9.25,12411.186176,24419.186176,4000,6.104796544,notebook_01_annualized_1q26,BRL,1Q26 annualized,Brazil,B3,Cash & Carry,Domestic Core Peer,Core Peer,True,Closest listed Brazilian cash and carry comparable
PCAR3.SA,GPA,2026-05-28,1.99,978.95424,4208.95424,1832,2.2974641048034936,notebook_01_annualized_1q26,BRL,1Q26 annualized,Brazil,B3,Food Retail,Domestic Distressed Peer,Distressed / Turnaround Peer,True,Listed Brazilian food retail peer but distressed and should be scenario-tested
WALMEX.MX,Walmart de Mexico,2026-05-30,52.4,906111942656.0,959297290240.0,97478295552,9.841,yfinance,MXN,yfinance trailing EBITDA,Mexico,BMV,Food Retail and Clubs,LatAm Peer,High Quality LatAm Peer,True,Large LatAm food retail and club-store operator
CHDRAUIB.MX,Grupo Comercial Chedraui,2026-05-30,97.43,93508042752.0,141098713088.0,19550976000,7.217,yfinance,MXN,yfinance trailing EBITDA,Mexico,BMV,Food Retail,LatAm Peer,LatAm Food Retail Peer,True,Mexican food retail operator with Mexico and US exposure
SORIANAB.MX,Organizacion Soriana,2026-05-30,34.49,61025402880.0,81359486976.0,10997213184,7.398,yfinance,MXN,yfinance trailing EBITDA,Mexico,BMV,Food Retail,LatAm Peer,LatAm Food Retail Peer,True,Mexican supermarket and food retail operator
CENCOSUD.SN,Cencosud,2026-05-30,2099.0,5780666843136.0,11398445793280.0,1049218449408,10.864,yfinance,CLP,yfinance trailing EBITDA,Chile,Santiago,Food Retail and Multi-format Retail,LatAm Peer,LatAm Multi-format Retail Peer,True,Large Chilean and regional retail operator with food retail exposure
